presTime,rep_idx,first_press,correct,p_id
200.0,1.0,1368.142857142857,0.8571428571428571,7
200.0,2.0,1245.142857142857,1.0,7
200.0,3.0,1079.0,1.0,7
200.0,4.0,1027.4285714285713,0.8571428571428571,7
400.0,1.0,1706.571428571429,1.0,7
400.0,2.0,1310.857142857143,0.8571428571428571,7
400.0,3.0,1129.4285714285713,0.8571428571428571,7
400.0,4.0,1178.4285714285713,0.8571428571428571,7
600.0,1.0,1694.142857142857,1.0,7
600.0,2.0,1459.571428571429,1.0,7
600.0,3.0,1397.857142857143,0.8571428571428571,7
600.0,4.0,1373.142857142857,0.8571428571428571,7
10.0,1.0,1064.2857142857142,0.7142857142857143,8
10.0,2.0,1172.4285714285713,0.8571428571428571,8
10.0,3.0,1002.2857142857144,0.8571428571428571,8
10.0,4.0,785.1428571428571,1.0,8
200.0,1.0,1015.0,1.0,8
200.0,2.0,1016.0,1.0,8
200.0,3.0,811.2857142857142,1.0,8
200.0,4.0,743.8571428571429,1.0,8
400.0,1.0,1269.857142857143,1.0,8
400.0,2.0,1068.142857142857,1.0,8
400.0,3.0,1030.0,1.0,8
400.0,4.0,994.2857142857144,1.0,8
600.0,1.0,1447.428571428571,1.0,8
600.0,2.0,1292.0,1.0,8
600.0,3.0,1220.4285714285713,1.0,8
600.0,4.0,1191.2857142857142,1.0,8
10.0,1.0,1135.0,1.0,9
10.0,2.0,1199.857142857143,1.0,9
10.0,3.0,1311.142857142857,1.0,9
10.0,4.0,1077.2857142857142,1.0,9
200.0,1.0,1042.857142857143,1.0,9
200.0,2.0,1000.7142857142856,1.0,9
200.0,3.0,995.8571428571428,1.0,9
200.0,4.0,981.0,1.0,9
400.0,1.0,1175.2857142857142,1.0,9
400.0,2.0,1126.142857142857,1.0,9
400.0,3.0,1140.0,1.0,9
400.0,4.0,1110.2857142857142,1.0,9
600.0,1.0,1436.2857142857142,0.8571428571428571,9
600.0,2.0,1287.7142857142858,1.0,9
600.0,3.0,1277.2857142857142,1.0,9
600.0,4.0,1431.333333333333,0.8571428571428571,9
10.0,1.0,1446.428571428571,0.7142857142857143,10
10.0,2.0,1066.5714285714287,0.7142857142857143,10
10.0,3.0,1026.857142857143,0.8571428571428571,10
10.0,4.0,968.2857142857144,0.8571428571428571,10
200.0,1.0,1231.4285714285713,1.0,10
200.0,2.0,1107.5714285714287,1.0,10
200.0,3.0,1100.5714285714287,1.0,10
200.0,4.0,1107.2857142857142,1.0,10
400.0,1.0,1236.5,0.7142857142857143,10
400.0,2.0,1257.5714285714287,1.0,10
400.0,3.0,1282.7142857142858,1.0,10
400.0,4.0,1333.4285714285713,1.0,10
600.0,1.0,1441.428571428571,1.0,10
600.0,2.0,1370.5714285714287,1.0,10
600.0,3.0,1405.2857142857142,1.0,10
600.0,4.0,1607.7142857142858,0.8571428571428571,10
10.0,1.0,1569.142857142857,0.5714285714285714,11
10.0,2.0,1161.857142857143,0.8571428571428571,11
10.0,3.0,1530.142857142857,0.7142857142857143,11
10.0,4.0,997.4285714285713,0.8571428571428571,11
200.0,1.0,1269.7142857142858,1.0,11
200.0,2.0,1075.5714285714287,0.8571428571428571,11
200.0,3.0,1203.5,0.7142857142857143,11
200.0,4.0,956.1428571428572,1.0,11
400.0,1.0,1335.2857142857142,0.8571428571428571,11
400.0,2.0,1163.142857142857,1.0,11
400.0,3.0,1697.0,0.7142857142857143,11
400.0,4.0,1127.7142857142858,1.0,11
